name,date,actors,location,location_details,price,lowPrice,highPrice,categoryName
2024沈阳草莓音乐节,2024.07.20-07.21,艺人：陈楚生、重塑雕像的权利、二手玫瑰、TizzyT、陈绮贞、曾轶可、海龟先生、DIGI GHETTO、马赛克、丢火车乐队、连麻Swimming、声音碎片、黄旭、柳爽、罗言、达闻西、SummerVapour夏至梦、广场恐惧症、梭哈乐队,沈阳,沈阳市和平区和平杯世界足球公园,298-658,298.0,658.0,演唱会
长荡湖·超级芒禾音乐节,2024.08.30-09.01,艺人：十个勤天、杨千嬅、朴树、苏醒、张远、王栎鑫、陆虎、王铮亮、蒲熠星、JarStick、龙崎、李毅杰、法老、小精灵、杨和苏、buzzy、BigYear 大年、张思源、高天佐Trouble.Z、kandi侃迪、Kc左元杰、回春丹乐队、二手玫瑰、痛仰乐队、逃跑计划、旅行团乐队、弹壳、啊之AZ、乃万、万妮达、顽童MJ116、海龟先生、房东的猫、麻园诗人、颜人中、DOUDOU、旅行新蜜蜂乐队、郑润泽、队长YoungCaptain、h3R3刘清云、黄誉博、唐九洲、霓虹花园、徐子未、吴垚滔、傻子与白痴、声音玩具,常州,长荡湖1915音乐岛,298-999,298.0,999.0,演唱会
心回山湖音乐节,2024.07.20-07.21,艺人：法老、杨和苏、弹壳、王以太、艾志恒Asen、白皮书乐队、马思唯、PSY.P、宝石GEM,贵阳,观山湖公园民族大联欢广场,185-777,185.0,777.0,演唱会
2024石家庄草莓音乐节,2024.07.13-07.14,艺人：重塑雕像的权利、朴树、痛仰乐队、后海大鲨鱼、回春丹乐队、动力火车、张蔷、海龟先生、声音碎片、梅卡德尔、尧十三、马頔、达闻西、盘尼西林、疯医乐队、Click#15、香蕉俱乐部乐队、美好药店、八仙饭店、梭哈乐队、队长YoungCaptain、郑润泽、DOUDOU,石家庄,2024石家庄草莓音乐节,298-658,298.0,658.0,演唱会
枣林湾音乐节,2024.08.10-08.11,艺人：张远、王栎鑫、陆虎、王铮亮、沈以诚、蒲熠星、焦迈奇、房东的猫、黄子弘凡、连淮伟、黄誉博、李俊濠（Rimiko）、石玺彤、霓虹花园、苏醒,扬州,仪征枣林湾园博园,99-429,99.0,429.0,演唱会
蔡健雅“Let’s Depart！给世界最悠长的吻”巡回演唱会-苏州站,2024.08.03 周六 19:00,艺人：蔡健雅,苏州,苏州奥林匹克体育中心体育馆,399-1099,399.0,1099.0,演唱会
王菀之2024初回限定最终场广州音乐会,2024.09.14 周六 20:00,艺人：王菀之,广州,广州体育馆2号馆,380-980,380.0,980.0,演唱会
2024ChinaJoy中国国际数码互动娱乐展览会【日常服装通道】,2024.07.26-07.29,,上海,上海新国际博览中心,100-350,100.0,350.0,展览休闲
第34届青岛国际啤酒节开幕式暨“干杯之夜”大型演唱会,2024.07.19 周五 20:00,艺人：李荣浩、单依纯、迪玛希、辛晓琪、动力火车、姚晓棠,青岛,青岛西海岸新区金沙滩啤酒城,180-1380,180.0,1380.0,演唱会
2024张信哲「未来式终极版」世界巡回演唱会-南京站,2024.07.06 周六 19:00,艺人：张信哲,南京,南京奥体中心体育场,380-2180,380.0,2180.0,演唱会
